JVET number,MPEG number,Created,First upload,Last upload,Title,Source,Download Link,Type
JVET-A1001,m38169,2016-02-24 02:20:53,2016-02-24 02:27:39,2016-02-24 02:27:39,Algorithm Description of Joint Exploration Test Model 1,"J. Chen, E. Alshina, G.-J. Sullivan, J.-R. Ohm, J. Boyce",https://jvet-experts.org/doc_end_user/documents/1_Geneva/wg11/JVET-A1001-v1.zip,0
JVET-A1002,m38170,2016-02-24 02:23:47,2016-02-24 02:28:07,2016-02-24 02:28:07,Work plan for investigation of test sequence encoding,"T. Suzuki, J. Chen",https://jvet-experts.org/doc_end_user/documents/1_Geneva/wg11/JVET-A1002-v1.zip,0
JVET-B0001,m38092,2016-02-19 23:07:31,2016-02-20 16:04:33,2016-02-20 16:04:33,Report of VCEG AHG1 on Coding Efficiency Improvements,"M. Karczewicz, M. Budagavi (AHG chairs)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0001-v1.zip,0
JVET-B0002,m38155,2016-02-23 03:59:29,2016-02-23 04:01:30,2016-02-23 04:01:30,Report of VCEG AHG2 on Subjective Distortion Measurement,T. K. Tan (AHG chair),https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0002-v1.zip,0
JVET-B0004,m38077,2016-02-19 06:37:30,2016-02-20 21:07:58,2016-02-21 23:03:29,Report of VCEG AHG4 on Test Sequence Selection,"T. Suzuki, J. Boyce, A. Norkin (AHG chairs)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0004-v3.zip,0
JVET-B0006,m38064,2016-02-18 17:56:47,2016-02-20 07:37:18,2016-02-20 07:37:18,Report of VCEG AHG6 on JEM Software Development,"X. Li, K. Suehring (AHG chairs)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0006-v1.zip,0
JVET-B0007,m38211,2016-03-04 21:46:56,2016-03-04 21:48:19,2016-03-04 21:48:19,Report of MPEG AHG on Future Video Coding Technology Evaluation (copy of m38141),"J.-R. Ohm, G. J. Sullivan, J. Boyce, J. Chen, K. Sühring, T. Suzuki",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0007-v1.zip,0
JVET-B0021,m37606,2016-01-29 02:32:08,2016-02-20 18:09:50,2016-02-20 18:09:50,Proposed Improvements to Algorithm Description of Joint Exploration Test Model 1,"J. Chen (Qualcomm), E. Alshina (Samsung), G. J. Sullivan (Microsoft), J.-R. Ohm (RWTH Aachen Univ.), J. Boyce (Intel)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0021-v1.zip,0
JVET-B0022,m37610,2016-02-02 07:28:11,2016-02-12 18:05:42,2016-02-17 13:57:41,Performance of JEM 1 tools analysis,"E. Alshina, A. Alshin, K. Choi, M. Park (Samsung)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0022-v2.zip,1
JVET-B0023,m37673,2016-02-08 09:57:19,2016-02-08 10:03:12,2016-02-20 17:37:03,Quadtree plus binary tree structure integration with JEM tools,"J. An, H. Huang, K. Zhang, Y.-W. Huang, S. Lei (MediaTek)",https://jvet-experts.org/doc_end_user/documents/2_San Diego/wg11/JVET-B0023-v2.zip,1
